序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,geometry,index_right,TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE,distance_to_taiwan,location_category
1022,彰化縣芬園鄉,圳墘村,彰南路二段36號,120.0,23.0,寶山國小,縣庄村 溪頭村 圳墘村,100,"水災,震災,土石流,海嘯",許安柔,049-2523968,否,否,否,POINT (120 23),,,,,,,,,142.1493580710093,綠島
1023,彰化縣芬園鄉,中崙村,大彰路二段100巷36號,120.0,23.0,同安國小,同安村 中崙村 大竹村,100,"水災,震災,土石流,海嘯",許安柔,049-2523968,是,否,是,POINT (120 23),,,,,,,,,142.1493580710093,綠島
3082,屏東縣滿州鄉,里德村,山頂路57號隔壁,118.0,24.0,里德社區活動中心,里德村,60,"水災,土石流,海嘯",宋仁宗,08-8801358,是,否,是,POINT (118 24),,,,,,,,,333.7391795998785,金門
3246,臺中市大肚區,社腳里,沙田路一段364號,120.34069,24.07197,追分國小多功能教室,該收容處所亦有附屬空地可供使用﹝面積6974平方公尺﹞,100,"水災,土石流,海嘯",賴如足,04-26932604,是,否,是,POINT (120.34069 24.07197),,,,,,,,,79.16544255921947,海外遠距
3413,臺中市東區,泉源里,樂業路60號,120.194202,24.138354,臺中市東區樂業國小,泉源、旱溪、樂成.,450,"水災,震災",張添琦,04-22121293,是,是,否,POINT (120.194202 24.138354),,,,,,,,,97.00878299434763,海外遠距
3735,臺中市石岡區,土牛里,石岡區土牛里德成巷1之2號,120.0892,24.2655,土牛活動中心,土牛,40,"水災,震災",黃三榮,04-25818635,是,否,是,POINT (120.0892 24.2655),,,,,,,,,113.537693880446,海外遠距
3752,金門縣金沙鎮,大洋里,大洋里東山22號,118.271,24.274,金沙鎮大洋里辦公處,金門縣金沙鎮大洋里,30,"水災,震災,土石流",吳有泰,082-335089,是,否,否,POINT (118.271 24.274),,,,,,,,,307.4543113325945,金門
3761,臺中市霧峰區,峰谷里,峰谷路496號,120.4318,24.279,峰谷國小南棟教室,峰谷,900,"水災,震災,土石流",陳世穎-洪英恆,04-23399271,是,是,是,POINT (120.4318 24.279),,,,,,,,,82.49116733954038,海外遠距
3762,金門縣金沙鎮,何斗里,何斗里斗門55-3號,118.24,24.282,金沙鎮何斗里辦公處,金門縣金沙鎮何斗里,80,"水災,震災,土石流,海嘯",陳金德,082-351872,是,否,否,POINT (118.24 24.282),,,,,,,,,310.9966456475059,金門
3763,金門縣金沙鎮,三山里,三山里碧山58-1號,118.245,24.282,金沙鎮三山里辦公處,金門縣金沙鎮三山里,30,"水災,震災,土石流",陳賜發,082-351840,是,否,否,POINT (118.245 24.282),,,,,,,,,310.4499348188041,金門
3764,金門縣金沙鎮,浦山里,浦山里浦邊4-3號,118.232,24.284,金沙鎮浦山里辦公處,金門縣金沙鎮浦山里,30,"水災,震災,土石流",周家才,082-352848,是,否,否,POINT (118.232 24.284),,,,,,,,,311.9096049819563,金門
3765,金門縣金沙鎮,光前里,光前里陽翟96-5號,118.253,24.284,金沙鎮光前里辦公處,金門縣金沙鎮光前里,80,"水災,震災,土石流",翁麗治,082-353833,是,否,否,POINT (118.253 24.284),,,,,,,,,309.61370296710055,金門
3769,金門縣金沙鎮,汶沙里,汶沙里國中路1-1號,118.245,24.291,金沙鎮汶沙里辦公處,金門縣金沙鎮汶沙里,30,"水災,震災,土石流",張瀚龍,082-352556,是,否,否,POINT (118.245 24.291),,,,,,,,,310.6236581878458,金門
3779,金門縣金沙鎮,西園里,西園里西園1-3號,118.242,24.303,金沙鎮西園里辦公處,金門縣金沙鎮西園里,30,"水災,震災,土石流",黃木林,082-354628,否,否,否,POINT (118.242 24.303),,,,,,,,,311.1877229792328,金門
3794,金門縣金沙鎮,官嶼里,官嶼里官澳82-2號,118.245,24.311,金沙鎮官嶼里辦公處,金門縣金沙鎮官嶼里,30,"水災,震災,土石流",楊恭勤,082-351715,是,否,否,POINT (118.245 24.311),,,,,,,,,311.02085117560796,金門
4151,南投縣草屯鎮,新豐里,番子田路100號,120.000836,24.676621,新豐社區活動中心,新豐里,80,"水災,震災",林資湖理事長,049-2362158,是,否,否,POINT (120.000836 24.676621),,,,,,,,,147.54205331366447,海外遠距
4265,新竹縣竹東鎮,仁愛里,大同路257號,121.891,24.7328,中山社區活動中心,雞林里、中山里,93,"水災,土石流,海嘯",何佳紋,03-5966177＃206,是,否,是,POINT (121.891 24.7328),,,,,,,,,143.18556165214468,海外遠距
4532,新竹縣新豐鄉,松林村,康樂路一段516號,120.5854,24.8756,松林社區活動中心,松林村松柏村,60,"水災,震災,土石流",徐茂淦,35597912,是,否,是,POINT (120.5854 24.8756),,,,,,,,,127.95409245084689,海外遠距
4620,臺中市霧峰區,北柳里,霧峰區北柳里國中路110號,120.4141,24.917,霧峰國中行政大樓地下室,北柳,175,"水災,震災,土石流",郭志強--林芝萍,04-23393175#230,是,是,是,POINT (120.4141 24.917),,,,,,,,,140.0082654239026,海外遠距
4621,臺中市霧峰區,本堂里,中正路736號,120.41411,24.917,霧峰國小志文樓地下室,本堂、中正,800,"水災,震災",吳佳容,04-23393069#731,是,是,是,POINT (120.41411 24.917),,,,,,,,,140.00774982394444,海外遠距
4622,臺中市霧峰區,北柳里,國中路110號,120.41411,24.917,霧峰國中行政大樓地下室,北柳,1381,"震災,土石流",謝龍卿-葉美蕙,04-23393175#230,是,是,是,POINT (120.41411 24.917),,,,,,,,,140.00774982394444,海外遠距
5030,彰化縣彰化市,忠孝里,辭修路200號,120.0,25.0,忠孝國小,西勢里萬壽里長樂里忠孝里忠權里五權里西興里,703,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否,POINT (120 25),,,,,,,,,173.38754280512768,海外遠距
5031,臺北市士林區,蘭雅里,中山北路六段392號,121.0,25.0,士東國小,蘭雅里,63,,吳志豪,02-28710064,否,否,否,POINT (121 25),,,,,,,,,133.19999999999993,海外遠距
5947,連江縣南竿鄉,仁愛村,95號,119.9311,26.1409,仁愛國小教室,仁愛村,0,"水災,震災,土石流",曹正偉,912547147,是,否,是,POINT (119.9311 26.1409),,,,,,,,,285.64680604974365,馬祖
