避難收容處所名稱,縣市及鄉鎮市區,緯度,經度,is_indoor,設施類型,最近AQI測站,測站縣市,最近測站AQI,距離測站(km),風險等級,風險描述,風險分數,模擬情境
臺東縣立土?國小,臺東縣達仁鄉,22.453853,120.887664,True,室內設施,新店,屏東市,94,32.41,Low Risk,風險較低,35,高AQI情境模擬
達仁鄉立土?托兒所,臺東縣達仁鄉,22.454897,120.885982,True,室內設施,新店,屏東市,94,32.36,Low Risk,風險較低,35,高AQI情境模擬
大潭國小,屏東縣東港鎮,22.456799,120.495771,True,室內設施,台南,高雄市,155,8.99,High Risk,最近測站 AQI 155 > 100,50,高AQI情境模擬
愛國蒲分校,臺東縣大武鄉,22.4575,120.9227,True,室內設施,新店,屏東市,94,35.44,Low Risk,風險較低,35,高AQI情境模擬
以栗國小,屏東縣東港鎮,22.4624,120.4629,True,室內設施,台南,高雄市,155,5.59,High Risk,最近測站 AQI 155 > 100,50,高AQI情境模擬
東隆宮香客大樓,屏東縣東港鎮,22.4631,120.4488,True,室內設施,台南,高雄市,155,4.22,High Risk,最近測站 AQI 155 > 100,50,高AQI情境模擬
太麻里鄉多良村辦公處,臺東縣太麻里鄉,22.4631,120.9414,True,室內設施,新店,屏東市,94,37.34,Low Risk,風險較低,35,高AQI情境模擬
東隆國小,屏東縣東港鎮,22.463386,120.449937,True,室內設施,台南,高雄市,155,4.31,High Risk,最近測站 AQI 155 > 100,50,高AQI情境模擬
望嘉警察派出所,屏東縣來義鄉,22.4636,120.6218,True,室內設施,林園,高雄市,153,9.09,High Risk,最近測站 AQI 153 > 100,50,高AQI情境模擬
屏東縣林邊鄉竹林國民小學,屏東縣林邊鄉,22.4642,120.5331,True,室內設施,林園,高雄市,153,7.16,High Risk,最近測站 AQI 153 > 100,50,高AQI情境模擬
東港高中,屏東縣東港鎮,22.4652,120.4555,True,室內設施,台南,高雄市,155,4.77,High Risk,最近測站 AQI 155 > 100,50,高AQI情境模擬
東光國小,屏東縣東港鎮,22.4694,120.4596,True,室內設施,台南,高雄市,155,5.04,High Risk,最近測站 AQI 155 > 100,50,高AQI情境模擬
東港國小,屏東縣東港鎮,22.4707,120.4547,True,室內設施,台南,高雄市,155,4.52,High Risk,最近測站 AQI 155 > 100,50,高AQI情境模擬
新埤鄉立幼兒園,屏東縣新埤鄉,22.4754,120.611,True,室內設施,林園,高雄市,153,7.37,High Risk,最近測站 AQI 153 > 100,50,高AQI情境模擬
臺東縣台?國民小學,臺東縣達仁鄉,22.47755,120.9077,True,室內設施,新店,屏東市,94,35.7,Low Risk,風險較低,35,高AQI情境模擬
台?活動中心,臺東縣達仁鄉,22.47805,120.9081,True,室內設施,新店,屏東市,94,35.77,Low Risk,風險較低,35,高AQI情境模擬
東興國小,屏東縣東港鎮,22.4784,120.4657,True,室內設施,台南,高雄市,155,5.54,High Risk,最近測站 AQI 155 > 100,50,高AQI情境模擬
北市大附小,臺北市中正區,22.4797,120.913,True,室內設施,新店,屏東市,94,36.26,Low Risk,風險較低,35,高AQI情境模擬
台?基督教會,臺東縣達仁鄉,22.479837,120.913513,True,室內設施,新店,屏東市,94,36.31,Low Risk,風險較低,35,高AQI情境模擬
啦里吧活動中心,臺東縣達仁鄉,22.48099,120.9136,True,室內設施,新店,屏東市,94,36.41,Low Risk,風險較低,35,高AQI情境模擬
新埤國小,屏東縣新埤鄉,22.4844,120.5653,True,室內設施,林園,高雄市,153,4.32,High Risk,最近測站 AQI 153 > 100,50,高AQI情境模擬
高雄市立中芸國民中學,高雄市林園區,22.485875,120.395311,True,室內設施,台南,高雄市,155,1.83,High Risk,最近測站 AQI 155 > 100,50,高AQI情境模擬
中芸國小,高雄市林園區,22.4871,120.3967,True,室內設施,台南,高雄市,155,1.76,High Risk,最近測站 AQI 155 > 100,50,高AQI情境模擬
烏龍國小,屏東縣新園鄉,22.4877,120.4581,True,室內設施,台南,高雄市,155,4.85,High Risk,最近測站 AQI 155 > 100,50,高AQI情境模擬
鹽洲國小,屏東縣新園鄉,22.4883,120.4408,True,室內設施,台南,高雄市,155,3.14,High Risk,最近測站 AQI 155 > 100,50,高AQI情境模擬
溪北社區活動中心,屏東縣南州鄉,22.4945,120.5111,True,室內設施,林園,高雄市,153,6.05,High Risk,最近測站 AQI 153 > 100,50,高AQI情境模擬
溪北國小,屏東縣南州鄉,22.4957,120.5111,True,室內設施,林園,高雄市,153,5.98,High Risk,最近測站 AQI 153 > 100,50,高AQI情境模擬
文樂活動中心,屏東縣來義鄉,22.4999,120.6243,True,室內設施,林園,高雄市,153,6.98,High Risk,最近測站 AQI 153 > 100,50,高AQI情境模擬
高雄市林園區港埔國民小學,高雄市林園區,22.504297,120.378585,True,室內設施,台南,高雄市,155,4.38,High Risk,最近測站 AQI 155 > 100,50,高AQI情境模擬
高雄市林園區王公國民小學,高雄市林園區,22.504698,120.388254,True,室內設施,台南,高雄市,155,3.7,High Risk,最近測站 AQI 155 > 100,50,高AQI情境模擬
高雄市林園區林園國民小學,高雄市林園區,22.506778,120.394303,True,室內設施,台南,高雄市,155,3.52,High Risk,最近測站 AQI 155 > 100,50,高AQI情境模擬
林園區長青文康活動中心,高雄市林園區,22.5087,120.3945,True,室內設施,台南,高雄市,155,3.7,High Risk,最近測站 AQI 155 > 100,50,高AQI情境模擬
港西國小,屏東縣新園鄉,22.5087,120.4556,True,室內設施,台南,高雄市,155,5.55,High Risk,最近測站 AQI 155 > 100,50,高AQI情境模擬
來義鄉新來義部落多功能活動中心,屏東縣來義鄉,22.5087,120.5825,True,室內設施,林園,高雄市,153,2.71,High Risk,最近測站 AQI 153 > 100,50,高AQI情境模擬
潮南國小,屏東縣潮州鎮,22.512958,120.534672,True,室內設施,林園,高雄市,153,2.95,High Risk,最近測站 AQI 153 > 100,50,高AQI情境模擬
